,index,TIME,RELATIVE_TIME,VOLTAGE,CURRENT,TEMPERATURE,COMMENT,TYPE,DATE,StepNumber,del_t,del_Q,Q,dQ,dV,Energy_Wh,Original_Segment
0,0,60.04,0.04,4.033,2.005,32.90058,charge (after random walk discharge),C,14-11-2014 17:14,1,0.0,0.0,2.13,0.0,0.0,0.0,0
1,1,120.04,60.04,4.087,2.0,33.40561,charge (after random walk discharge),C,14-11-2014 17:14,1,60.00000000000001,0.033375,2.163375,0.03337499999999993,0.05399999999999938,0.13640362499999972,0
2,2,180.04,120.04,4.096,2.0,34.00247,charge (after random walk discharge),C,14-11-2014 17:14,1,59.999999999999986,0.033333333333333326,2.196708333333333,0.033333333333333215,0.009000000000000341,0.13653333333333284,0
3,3,240.04,180.04,4.1,2.0,34.66054,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.2300416666666663,0.033333333333333215,0.0039999999999995595,0.13666666666666616,0
4,4,300.04,240.04,4.103,2.0,35.27269,charge (after random walk discharge),C,14-11-2014 17:14,1,60.00000000000003,0.03333333333333335,2.2633749999999995,0.033333333333333215,0.0030000000000001137,0.13676666666666618,0
5,5,360.04,300.04,4.109,2.0,35.93076,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.2967083333333327,0.033333333333333215,0.006000000000000227,0.13696666666666618,0
6,6,420.04,360.04,4.112,2.001,36.43579,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.033341666666666665,2.3300499999999995,0.033341666666666825,0.0030000000000001137,0.13710093333333398,0
7,7,480.04,420.04,4.116,2.0,36.92552,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.033341666666666665,2.3633916666666663,0.033341666666666825,0.0039999999999995595,0.13723430000000064,0
8,8,540.04,480.04,4.121,2.0,37.36934,charge (after random walk discharge),C,14-11-2014 17:14,1,59.99999999999994,0.033333333333333305,2.3967249999999996,0.033333333333333215,0.005000000000000782,0.1373666666666662,0
9,9,600.04,540.04,4.126,2.0,37.79785,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.4300583333333328,0.033333333333333215,0.004999999999999893,0.13753333333333287,0
10,10,660.04,600.04,4.131,2.0,38.18044,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.463391666666666,0.033333333333333215,0.004999999999999893,0.13769999999999952,0
11,11,720.04,660.04,4.136,2.0,38.57835,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.496724999999999,0.033333333333333215,0.004999999999999893,0.1378666666666662,0
12,12,780.04,720.04,4.141,2.0,38.93034,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.5300583333333324,0.033333333333333215,0.004999999999999893,0.13803333333333284,0
13,13,840.04,780.04,4.146,2.0,39.34354,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.5633916666666656,0.033333333333333215,0.004999999999999893,0.13819999999999952,0
14,14,900.04,840.04,4.153,2.0,39.63432,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.596724999999999,0.033333333333333215,0.006999999999999673,0.13843333333333283,0
15,15,960.04,900.04,4.16,2.0,39.89449,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.630058333333332,0.033333333333333215,0.007000000000000561,0.1386666666666662,0
16,16,1020.04,960.04,4.166,1.999,40.19959,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03332500000000001,2.663383333333332,0.03332500000000005,0.006000000000000227,0.1388319500000002,0
17,17,1080.04,1020.04,4.174,2.0,40.44326,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03332500000000001,2.696708333333332,0.03332500000000005,0.008000000000000007,0.1390985500000002,0
18,18,1140.04,1080.04,4.181,2.0,40.71739,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.7300416666666654,0.033333333333333215,0.006999999999999673,0.13936666666666617,0
19,19,1200.04,1140.04,4.189,2.0,40.99152,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.7633749999999986,0.033333333333333215,0.008000000000000007,0.13963333333333283,0
20,20,1260.04,1200.04,4.197,2.0,41.15905,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03333333333333333,2.796708333333332,0.033333333333333215,0.008000000000000007,0.1398999999999995,0
21,21,1320.04,1260.04,4.2,1.959,41.40272,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.03299166666666667,2.8296999999999985,0.03299166666666675,0.0030000000000001137,0.13856500000000035,0
22,22,1380.04,1320.04,4.2,1.902,41.58547,charge (after random walk discharge),C,14-11-2014 17:14,1,60.0,0.032174999999999995,2.8618749999999986,0.032175000000000065,0.0,0.13513500000000028,0
